Date,Amount,Currency,Description,Category,Sub Category,Paid By
04/03/2023,2.00,GBP,SPAR,Housing,Household Product,
05/03/2023,1.30,GBP,SPAR,Food & Drinks,Grocery,
05/03/2023,8.00,GBP,SPAR,Food & Drinks,Grocery,
06/03/2023,1200.00,GBP,Rent'Mar,Housing,Rent,
08/03/2023,1.99,GBP,SPAR,Food & Drinks,Grocery,
08/03/2023,9.00,GBP,EE,Utility,Phone Bill,
08/03/2023,2.00,GBP,bus,Transportation,Transport_Local,
09/03/2023,2.00,GBP,Bus,Transportation,Transport_Local,
09/03/2023,1.99,GBP,SPAR,Food & Drinks,Grocery,
09/03/2023,3.97,GBP,SPAR,Food & Drinks,Grocery,
09/03/2023,17.00,GBP,SKY Digital,Utility,TV & Broadband,
11/03/2023,23.41,GBP,Tesco,Food & Drinks,Grocery,
11/03/2023,16.00,GBP,Tesco,Housing,Household Product,
11/03/2023,4.00,GBP,Tesco,Personal care,Miscellaneous,
11/03/2023,21.32,GBP,Exotic,Food & Drinks,Grocery,
11/03/2023,8.00,GBP,amens Kitchen ,Food & Drinks,Take aways,
11/03/2023,3.00,GBP,SPAR,Food & Drinks,Grocery,
13/03/2023,4.91,GBP,SPAR,Food & Drinks,Grocery,
13/03/2023,40.00,GBP,Gift,Other,Miscellaneous,
13/03/2023,60.00,GBP,India A/C,Saving,Saving,
14/03/2023,22.00,GBP,SKY TV,Utility,TV & Broadband,
14/03/2023,3.29,GBP,Amazon,Personal care,Miscellaneous,
15/03/2023,26.50,GBP,TV licence ,Entertainment,Subscription,
16/03/2023,5.41,GBP,SPAR,Food & Drinks,Grocery,
17/03/2023,2.50,GBP,Amazon,Personal care,Miscellaneous,
18/03/2023,100.00,GBP,Madhu,Allowance,Allowance_Spouse,
18/03/2023,13.00,GBP,Asda,Housing,Household Product,
18/03/2023,7.00,GBP,Asda,Personal care,Miscellaneous,
18/03/2023,42.27,GBP,Asda,Food & Drinks,Grocery,
18/03/2023,22.40,GBP,Everest Tandoori,Food & Drinks,Eating out,
18/03/2023,4.61,GBP,amens Kitchen ,Food & Drinks,Take aways,
18/03/2023,11.28,GBP,Tariq Meat,Food & Drinks,Grocery,
18/03/2023,22.64,GBP,Exotic,Food & Drinks,Grocery,
19/03/2023,21.00,GBP,sports direct ,Personal care,Clothing(Own),
19/03/2023,4.58,GBP,Exotic,Food & Drinks,Grocery,
19/03/2023,2.00,GBP,poundland,Other,Miscellaneous,
19/03/2023,2.25,GBP,Greegs,Food & Drinks,Take aways,
19/03/2023,6.40,GBP,SPAR,Food & Drinks,Grocery,
21/03/2023,13.00,GBP,m&s,Personal care,Clothing(Other),
21/03/2023,4.68,GBP,SPAR,Food & Drinks,Grocery,
22/03/2023,1.00,GBP,Lyca ,Utility,Phone Bill,
22/03/2023,17.00,GBP,bus,Transportation,Transport_Local,
22/03/2023,6.80,GBP,Food at office,Food & Drinks,Take aways,
23/03/2023,8.69,GBP,Amazon,Other,Miscellaneous,
